Month,Region,Head,Call Average,Performance,Pob
10,Kolkata,Muzaffarpur,41.54545455,103.2982149,22.40021382
10,Kolkata,Nagaon,23.85,102.6045896,22.52534437
10,Kolkata,Patna - 1,30.57142857,88.45702021,10.77718517
10,Kolkata,Patna - 2,30.66666667,81.65611346,13.74264185
10,Kolkata,Purnea,25.1,104.1107688,27.16759387
10,Kolkata,Ranchi - 1,26.71428571,85.22772733,24.02277789
10,Kolkata,Ranchi - 2,21.95454545,93.93415729,5.817547638
10,Kolkata,Silchar,22.35294118,106.8858799,17.60129988
10,Lucknow,Agra,46.30434783,35.43155201,40.40689577
10,Lucknow,Aligarh,39.86956522,29.20913522,28.62288658
10,Lucknow,Allahabad,28.17391304,115.9718194,60.45161312
10,Lucknow,Azamgarh,30.80952381,106.1088512,57.68652087
10,Lucknow,Bareilly,32.2173913,97.84441408,29.77631348
10,Lucknow,Dehradun,34.65217391,106.0663504,58.38412313
10,Lucknow,Faizabad,26.16666667,41.97523296,53.34439232
10,Lucknow,Ghaziabad,48.34782609,120.2831054,59.53091728
10,Lucknow,Ghazipur / Balia,31.39130435,128.0604919,60.24458854
10,Lucknow,Gorakhpur -1,31.61904762,83.81508359,70.48632988
10,Lucknow,Gorakhpur -2,32.69565217,123.093231,27.7320711
10,Lucknow,Haldwani,26.72222222,45.87691665,24.33648001
10,Lucknow,Jhansi,33.95833333,34.45203531,31.14117254
10,Lucknow,Kanpur - 1,34.86666667,73.07823638,30.12110044
10,Lucknow,Kanpur - 2,35.27272727,37.50735758,50.87659049
10,Lucknow,Lucknow - 1,31.22727273,281.0148872,46.44223548
10,Lucknow,Lucknow-2,33.33333333,2.689497838,54.24228054
10,Lucknow,Meerut,37.27777778,51.82118059,28.08676579
10,Lucknow,Moradabad,39.20833333,96.20330528,89.54366291
10,Lucknow,Muzaffarnagar,44.91666667,112.1304388,74.99512518
10,Lucknow,Varanasi-1,38.47826087,173.9619483,71.30724438
10,Lucknow,Varanasi-2,30.23809524,55.12443081,43.47326489
